id_logement,region,departement,surface_m2,annee_construction,periode_construction,type_logement,energie_chauffage,conso_energie_kwh,cout_chauffage,classe_dpe,co2_emission,longitude,latitude,date_dpe
126,Bretagne,13,78.0,1999,1980-1999,Appartement,Gaz,4940.0,592.8,E,2269.0,4.993241813976384,44.484937435853986,2022-05-17 14:55:51
127,Bretagne,14,42.5,1948,<1960,Appartement,Bois,9622.2,1154.66,D,774.1,7.55224211493257,44.756541041660505,2024-10-20 03:35:22
128,Centre-Val de Loire,67,104.6,1954,<1960,Appartement,Autre,10354.4,1242.53,D,626.7,-0.5941933573116032,45.77226514902378,2022-07-19 20:55:53
129,Pays de la Loire,33,29.0,1991,1980-1999,Appartement,Fioul,12822.6,1538.71,B,2283.3,3.4254376412826364,45.145352776306574,2024-12-12 04:23:08
130,Provence-Alpes-Côte d'Azur,13,115.9,2019,≥2010,Maison,Fioul,17045.1,2045.41,C,2590.9,2.3089022479747374,44.70874590269365,2023-03-09 11:32:23
131,Provence-Alpes-Côte d'Azur,59,97.9,1958,<1960,Appartement,Autre,12858.3,1543.0,E,3454.5,4.899595025794808,42.93211774133704,2024-06-10 20:15:27
132,Nouvelle-Aquitaine,67,98.0,1982,1980-1999,Appartement,Gaz,12936.6,1552.39,F,2998.0,6.260312981385681,49.7796930862464,2024-03-09 21:47:11
133,Bretagne,59,20.1,1956,<1960,Appartement,Fioul,13729.7,1647.56,F,2771.8,2.8395794008941238,43.05942331875417,2024-03-05 15:15:12
134,Île-de-France,67,75.1,1989,1980-1999,Appartement,Électricité,4102.8,492.34,D,3343.4,5.60675962295894,50.22007998574582,2021-04-19 15:21:38
135,Occitanie,14,119.6,1961,1960-1979,Maison,Fioul,4518.6,542.23,D,2640.9,-0.9402875134396824,43.59154888489213,2023-07-17 03:45:04
136,Occitanie,35,69.4,1979,1960-1979,Appartement,Autre,5263.5,631.62,F,1890.2,-2.0283682368373803,43.067777112445135,2024-12-07 00:55:42
137,Hauts-de-France,59,52.7,2010,≥2010,Maison,Électricité,10320.3,1238.44,D,3021.1,0.598679963926922,47.39814144663207,2021-08-20 21:57:05
138,Bretagne,13,65.9,2019,≥2010,Appartement,Fioul,3577.3,429.28,D,2988.0,3.810575794550182,46.87124359540008,2021-09-14 04:22:26
139,Bretagne,67,83.0,1985,1980-1999,Appartement,Autre,8896.0,1067.52,F,2193.0,-2.565789663796593,46.773740748837405,2023-11-04 19:17:16
140,Centre-Val de Loire,31,59.5,2011,≥2010,Maison,Gaz,5842.9,701.15,E,1120.2,3.84457849797459,47.498187649262164,2024-04-08 07:15:26
141,Occitanie,44,122.0,1973,1960-1979,Maison,Autre,14194.7,1703.36,F,593.4,0.12321743143687502,44.99739247323666,2024-08-24 04:59:38
142,Bretagne,31,83.1,1962,1960-1979,Appartement,Gaz,13969.5,1676.34,C,2958.2,5.342478560604215,48.26765867883762,2023-02-12 22:27:01
143,Centre-Val de Loire,75,68.3,1964,1960-1979,Appartement,Électricité,10647.1,1277.65,D,2630.8,-4.521134377657057,46.8708993114525,2024-10-18 01:41:15
144,Nouvelle-Aquitaine,35,46.0,1958,<1960,Appartement,Autre,3450.2,414.02,F,2757.2,3.683774291782129,45.41226816252873,2023-06-15 05:41:15
145,Grand Est,35,99.5,1978,1960-1979,Maison,Bois,10932.9,1311.95,B,2991.8,3.4476903764495805,49.690555802732334,2021-07-12 08:32:36
146,Auvergne-Rhône-Alpes,31,98.8,1993,1980-1999,Maison,Bois,13478.8,1617.46,E,1390.9,7.232161189629087,48.83117353804238,2024-07-12 01:53:24
147,Provence-Alpes-Côte d'Azur,33,61.2,1998,1980-1999,Maison,Bois,15648.3,1877.8,C,511.0,4.273778196332916,45.92440997491821,2022-05-16 20:04:57
148,Pays de la Loire,14,20.0,1975,1960-1979,Appartement,Bois,19890.3,2386.84,F,2664.3,5.351924653502655,49.8742747314912,2022-02-26 14:47:50
149,Hauts-de-France,59,97.3,2002,2000-2009,Appartement,Bois,17033.2,2043.98,E,3278.0,6.759683206091189,50.506246775972436,2023-12-26 20:54:16
150,Grand Est,13,79.4,1986,1980-1999,Appartement,Gaz,12741.5,1528.98,C,2516.7,3.7756749377958414,47.170736523633956,2024-09-28 08:31:35
151,Occitanie,35,95.1,2002,2000-2009,Maison,Autre,10716.4,1285.97,D,862.3,-1.2280027455203304,44.37008631636521,2021-01-18 18:20:18
152,Centre-Val de Loire,31,143.7,1974,1960-1979,Appartement,Électricité,8656.8,1038.82,E,2416.6,6.307059394585787,50.46739176195879,2023-11-12 04:20:33
153,Provence-Alpes-Côte d'Azur,31,84.2,1969,1960-1979,Appartement,Bois,18100.5,2172.06,E,1187.7,4.718515553187675,44.148472694831,2021-12-03 06:32:48
154,Bretagne,14,69.6,2007,2000-2009,Appartement,Bois,12749.7,1529.96,D,811.8,0.5176888520116147,42.92128206983024,2024-09-01 14:30:54
155,Pays de la Loire,14,50.6,1963,1960-1979,Maison,Électricité,14837.4,1780.49,F,2193.1,4.236879244449508,45.34913697719624,2023-11-06 13:27:27
156,Bretagne,69,75.6,2016,≥2010,Maison,Électricité,9344.0,1121.28,D,2346.2,6.2799554033548475,48.82460719681105,2021-08-31 20:12:31
157,Île-de-France,69,89.8,1952,<1960,Appartement,Bois,6415.9,769.91,D,2111.2,7.68347770808653,50.532484551275886,2022-01-25 02:06:17
158,Île-de-France,33,86.6,1947,<1960,Appartement,Gaz,10198.5,1223.82,B,2594.3,7.380569551467719,48.04438512728563,2022-04-17 07:51:49
159,Pays de la Loire,33,136.7,2011,≥2010,Appartement,Électricité,10636.8,1276.42,F,1488.5,-0.7707382520661605,50.78099535860994,2024-10-13 12:01:00
160,Centre-Val de Loire,75,100.0,1961,1960-1979,Appartement,Autre,12863.0,1543.56,C,2277.1,0.4820182783363629,43.3036263017003,2023-08-26 17:21:48
161,Pays de la Loire,33,81.0,1958,<1960,Appartement,Autre,8681.5,1041.78,D,1763.2,-3.5760241352941735,43.02855744741577,2024-10-25 20:46:27
162,Occitanie,67,63.8,1953,<1960,Maison,Gaz,12112.4,1453.49,F,1973.5,-1.781924268765402,47.756469971469876,2024-10-31 18:23:59
163,Pays de la Loire,14,93.0,2006,2000-2009,Maison,Fioul,17299.7,2075.96,C,2441.6,6.471475710330353,50.90521200568697,2022-07-30 23:02:58
164,Nouvelle-Aquitaine,13,57.8,1965,1960-1979,Appartement,Gaz,4471.7,536.6,D,3153.7,-0.3089509583683334,46.873675387906104,2023-03-07 18:56:10
165,Bretagne,67,90.4,2020,≥2010,Appartement,Bois,2473.9,296.87,C,2463.1,3.0671845617334537,42.948182465671955,2022-09-26 12:40:58
166,Grand Est,59,99.6,1981,1980-1999,Appartement,Fioul,17606.6,2112.79,E,2761.6,3.6575530379914323,44.42460230787387,2024-06-02 06:06:25
167,Normandie,31,78.5,1955,<1960,Appartement,Bois,5413.7,649.64,D,2209.2,5.163780576863056,44.629698285817206,2023-08-14 14:08:17
168,Centre-Val de Loire,33,66.1,1964,1960-1979,Appartement,Autre,10289.7,1234.76,F,2638.9,-2.6235996068067973,45.43935702349147,2022-08-07 03:25:14
169,Pays de la Loire,31,20.0,1979,1960-1979,Maison,Électricité,14738.2,1768.58,F,3130.4,-1.0374292500123388,42.87934943720005,2023-10-27 07:48:19
